交银理财稳享灵动慧利6个月4号	JY020251	2022-03-14	2022-03-21	R2(谨慎型)	网银专业版|网银大众版|手机|全球连线手机|全球连线网银|全球连线电话银行	全行	Z7000922000062	2099-12-31（期限：28408天）	3.00%至3.90%
交银理财稳享固收增强14个月1号	JY020252	2022-03-14	2022-03-22	R3(稳健型)	网银专业版|网银大众版|手机|全球连线手机|全球连线网银|全球连线电话银行	全行	Z7000922000044	2099-12-31（期限：28407天）	4.40%
光大理财阳光金15M丰利12期	GD010205	2022-03-14	2022-03-21	R2(谨慎型)	网银专业版|网银大众版|手机|全球连线手机|全球连线网银|全球连线电话银行	全行	Z7001422000014	2023-06-22（期限：457天）	4.30%
招银理财颐养丰润二十五月封闭3C	100254C	2022-03-11	2022-03-17	R2(谨慎型)	网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银	全行	Z7001622000006	2024-04-18（期限：25月）	4.65%
招银理财颐养丰润二十五月封闭3A	100254A	2022-03-11	2022-03-17	R2(谨慎型)	网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银	全行	Z7001622000006	2024-04-18（期限：25月）	4.95%
招银理财睿远平衡尊享3期2年C	PB13242C	2022-03-09	2022-03-16	R3(稳健型)	托管网银	全行	Z7001622000051	2024-03-17（期限：2年）	4.60%至8.00%
招银理财睿远平衡尊享3期2年A	PB13242A	2022-03-09	2022-03-16	R3(稳健型)	柜台|可视柜台|网银专业版|网银大众版|手机|全球连线手机|全球连线网银	全行	Z7001622000051	2024-03-17（期限：2年）	4.60%至8.00%
建信理财嘉鑫固收2022年第105期	JX010241	2022-03-09	2022-03-15	R3(稳健型)	网银专业版|网银大众版|手机|全球连线手机|全球连线网银|全球连线电话银行	全行	Z7000722000485	2023-04-07（期限：387天）	4.20%
招银理财招睿金鼎十四月封闭11A	107911A	2022-03-08	2022-03-14	R2(谨慎型)	网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银	全行	Z7001622000005	2023-05-15（期限：14月）	4.25%
招睿周开测试7号	107122(代销)	2022-03-08	2022-03-08	R3(稳健型)	网上|手机|PAD		Z7001622000050	2022-05-09（期限：61天）	
招银理财招睿智远她享两年封闭2C	107752C	2022-03-08	2022-03-14	R3(稳健型)	网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银	全行	Z7001622000048	2024-03-15（期限：2年）	5.00%至7.50%
